ID, DATE, LATITUDE, LONGITUDE, ADTITUDE [m], TEMPERATURE [*C], HUMIDITY [%], PRESSURE [hPa], MQ7 [ppm], MQ7 DETECT, PM 1.0 [ug/m^3], PM 2.5 [ug/m^3], PM 10 [ug/m^3]
1 ,Sun Nov 01 2020 16:43:35 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,187 ,1 ,2 ,2 ,2
2 ,Sun Nov 01 2020 16:43:37 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,186 ,1 ,2 ,2 ,2
3 ,Sun Nov 01 2020 16:43:39 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,189 ,1 ,2 ,2 ,2
4 ,Sun Nov 01 2020 16:43:40 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,189 ,1 ,2 ,2 ,2
5 ,Sun Nov 01 2020 16:43:42 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,187 ,1 ,2 ,2 ,2
6 ,Sun Nov 01 2020 16:43:44 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,188 ,1 ,2 ,2 ,2
7 ,Sun Nov 01 2020 16:43:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,184 ,1 ,2 ,2 ,2
8 ,Sun Nov 01 2020 16:43:55 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,185 ,1 ,2 ,2 ,2
9 ,Sun Nov 01 2020 16:43:57 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,181 ,1 ,6 ,7 ,7
10 ,Sun Nov 01 2020 16:43:59 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,183 ,1 ,6 ,7 ,7
11 ,Sun Nov 01 2020 16:44:01 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,182 ,1 ,6 ,7 ,7
12 ,Sun Nov 01 2020 16:44:02 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,182 ,1 ,6 ,7 ,7
13 ,Sun Nov 01 2020 16:44:04 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,184 ,1 ,6 ,7 ,7
14 ,Sun Nov 01 2020 16:44:06 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,180 ,1 ,6 ,7 ,7
15 ,Sun Nov 01 2020 16:44:16 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,180 ,1 ,6 ,7 ,7
16 ,Sun Nov 01 2020 16:44:18 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,179 ,1 ,6 ,7 ,7
17 ,Sun Nov 01 2020 16:44:20 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,179 ,1 ,6 ,7 ,7
18 ,Sun Nov 01 2020 16:44:21 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,179 ,1 ,6 ,7 ,7
19 ,Sun Nov 01 2020 16:44:23 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,181 ,1 ,6 ,7 ,7
20 ,Sun Nov 01 2020 16:44:25 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
21 ,Sun Nov 01 2020 16:44:27 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
22 ,Sun Nov 01 2020 16:44:28 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
23 ,Sun Nov 01 2020 16:44:29 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,177 ,1 ,6 ,7 ,7
24 ,Sun Nov 01 2020 16:44:30 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,177 ,1 ,6 ,7 ,7
25 ,Sun Nov 01 2020 16:44:40 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,177 ,1 ,6 ,7 ,7
26 ,Sun Nov 01 2020 16:44:42 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,177 ,1 ,6 ,7 ,7
27 ,Sun Nov 01 2020 16:44:44 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,179 ,1 ,6 ,7 ,7
28 ,Sun Nov 01 2020 16:44:46 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,179 ,1 ,6 ,7 ,7
29 ,Sun Nov 01 2020 16:44:48 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,175 ,1 ,6 ,7 ,7
30 ,Sun Nov 01 2020 16:44:49 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,175 ,1 ,6 ,7 ,7
31 ,Sun Nov 01 2020 16:44:51 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,177 ,1 ,6 ,7 ,7
32 ,Sun Nov 01 2020 16:44:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,179 ,1 ,6 ,7 ,7
33 ,Sun Nov 01 2020 16:44:55 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
34 ,Sun Nov 01 2020 16:45:04 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,179 ,1 ,6 ,7 ,7
35 ,Sun Nov 01 2020 16:45:06 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,177 ,1 ,6 ,7 ,7
36 ,Sun Nov 01 2020 16:45:08 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
37 ,Sun Nov 01 2020 16:45:11 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,180 ,1 ,6 ,7 ,7
38 ,Sun Nov 01 2020 16:45:13 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,179 ,1 ,6 ,7 ,7
39 ,Sun Nov 01 2020 16:45:15 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,177 ,1 ,6 ,7 ,7
40 ,Sun Nov 01 2020 16:45:17 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
41 ,Sun Nov 01 2020 16:45:19 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,179 ,1 ,6 ,7 ,7
42 ,Sun Nov 01 2020 16:45:28 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
43 ,Sun Nov 01 2020 16:45:30 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
44 ,Sun Nov 01 2020 16:45:33 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
45 ,Sun Nov 01 2020 16:45:35 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,176 ,1 ,6 ,7 ,7
46 ,Sun Nov 01 2020 16:45:37 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
47 ,Sun Nov 01 2020 16:46:40 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,167 ,1 ,6 ,7 ,7
48 ,Sun Nov 01 2020 16:46:42 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,171 ,1 ,6 ,7 ,7
49 ,Sun Nov 01 2020 16:46:44 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,172 ,1 ,6 ,7 ,7
50 ,Sun Nov 01 2020 16:46:46 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,175 ,1 ,6 ,7 ,7
51 ,Sun Nov 01 2020 16:46:49 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,176 ,1 ,6 ,7 ,7
52 ,Sun Nov 01 2020 16:46:51 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,177 ,1 ,6 ,7 ,7
53 ,Sun Nov 01 2020 16:46:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,176 ,1 ,6 ,7 ,7
54 ,Sun Nov 01 2020 16:46:55 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,176 ,1 ,6 ,7 ,7
55 ,Sun Nov 01 2020 16:46:57 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
56 ,Sun Nov 01 2020 16:46:58 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,20 ,9.95 ,178 ,1 ,6 ,7 ,7
57 ,Sun Nov 01 2020 16:47:30 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,229 ,521 ,9.95 ,179 ,1 ,12 ,16 ,16
58 ,Sun Nov 01 2020 16:47:32 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,229 ,520 ,9.95 ,180 ,1 ,12 ,16 ,16
59 ,Sun Nov 01 2020 16:47:33 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,229 ,520 ,9.95 ,180 ,1 ,12 ,16 ,16
60 ,Sun Nov 01 2020 16:47:35 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,229 ,520 ,9.95 ,179 ,1 ,12 ,16 ,16
61 ,Sun Nov 01 2020 16:47:43 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,229 ,520 ,9.95 ,177 ,1 ,12 ,16 ,16
62 ,Sun Nov 01 2020 16:47:44 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,229 ,520 ,9.95 ,177 ,1 ,12 ,16 ,16
63 ,Sun Nov 01 2020 16:47:46 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,228 ,519 ,9.95 ,178 ,1 ,12 ,16 ,16
64 ,Sun Nov 01 2020 16:47:48 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,228 ,519 ,9.95 ,176 ,1 ,12 ,16 ,16
65 ,Sun Nov 01 2020 16:47:50 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,228 ,520 ,9.95 ,175 ,1 ,12 ,16 ,16
66 ,Sun Nov 01 2020 16:47:59 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,228 ,519 ,9.95 ,174 ,1 ,12 ,15 ,15
67 ,Sun Nov 01 2020 16:48:01 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,228 ,519 ,9.95 ,174 ,1 ,12 ,15 ,15
68 ,Sun Nov 01 2020 16:48:10 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,228 ,525 ,9.95 ,173 ,1 ,12 ,15 ,15
